sido,gugun,dong,jibun,complex_name,area_m2,deal_ym,deal_day,price_만원,floor,built_year,deal_date,행정동+단지명
서울특별시,동대문구,휘경동,57,주공1,114.73,202407,18,88800,8,2001,2024-07-18,휘경동주공1
서울특별시,강남구,개포동,185,개포주공6단지,73.02,202407,18,258000,7,1983,2024-07-18,개포주공6단지
서울특별시,동작구,사당동,105,사당우성3,84.66,202407,18,120500,10,1993,2024-07-18,사당우성3
서울특별시,노원구,하계동,284,한신1,27.0,202407,17,31500,6,1988,2024-07-17,하계동한신1
서울특별시,동작구,사당동,105,신동아4,59.89,202407,17,103000,14,1993,2024-07-17,사당동신동아4
서울특별시,동작구,사당동,105,극동(105),84.32,202407,16,103500,3,1993,2024-07-16,극동(105)
서울특별시,동작구,사당동,105,사당우성3,59.89,202407,16,100000,5,1993,2024-07-16,사당우성3
서울특별시,노원구,하계동,284,한신1,27.0,202407,15,29900,4,1988,2024-07-15,하계동한신1
서울특별시,광진구,광장동,218-1,극동2,84.55,202407,13,165000,5,1989,2024-07-13,극동2
서울특별시,동대문구,휘경동,57,주공2,59.13,202407,13,64900,2,2001,2024-07-13,휘경동주공2
서울특별시,강남구,개포동,12,성원대치2단지아파트,33.18,202407,13,98000,1,1992,2024-07-13,성원대치2단지아파트
서울특별시,강남구,개포동,12,성원대치2단지아파트,49.86,202407,13,137000,1,1992,2024-07-13,성원대치2단지아파트
서울특별시,동작구,사당동,105,신동아4,59.89,202407,13,97500,13,1993,2024-07-13,사당동신동아4
서울특별시,동작구,사당동,105,신동아4,59.89,202407,13,93000,3,1993,2024-07-13,사당동신동아4
서울특별시,동작구,사당동,105,사당우성2,84.66,202407,13,122000,7,1993,2024-07-13,사당우성2
서울특별시,동작구,사당동,105,신동아4,84.46,202407,13,120000,7,1993,2024-07-13,사당동신동아4
서울특별시,동작구,사당동,105,극동(105),110.14,202407,13,108000,14,1993,2024-07-13,극동(105)
서울특별시,동작구,사당동,105,극동(105),51.57,202407,13,85300,4,1993,2024-07-13,극동(105)
서울특별시,강남구,개포동,12,성원대치2단지아파트,39.53,202407,12,134000,9,1992,2024-07-12,성원대치2단지아파트
서울특별시,강남구,개포동,185,개포주공7단지,53.46,202407,12,210000,11,1983,2024-07-12,개포주공7단지
서울특별시,동작구,사당동,105,극동(105),46.75,202407,12,75300,14,1993,2024-07-12,극동(105)
서울특별시,노원구,하계동,284,한신1,27.0,202407,10,28500,1,1988,2024-07-10,하계동한신1
서울특별시,동작구,사당동,105,극동(105),46.75,202407,9,75000,11,1993,2024-07-09,극동(105)
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202407,9,148000,11,1992,2024-07-09,삼익대청아파트
서울특별시,광진구,광장동,218-1,극동2,84.55,202407,9,161000,6,1989,2024-07-09,극동2
서울특별시,동대문구,휘경동,57,주공1,84.73,202407,9,78000,5,2001,2024-07-09,휘경동주공1
서울특별시,동대문구,휘경동,57,주공2,59.79,202407,9,62000,5,2001,2024-07-09,휘경동주공2
서울특별시,동대문구,휘경동,57,주공1,84.8,202407,8,80000,9,2001,2024-07-08,휘경동주공1
서울특별시,강남구,개포동,185,개포주공6단지,73.02,202407,8,258000,15,1983,2024-07-08,개포주공6단지
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202407,8,140000,3,1992,2024-07-08,삼익대청아파트
서울특별시,노원구,하계동,284,한신1,44.52,202407,8,46900,7,1988,2024-07-08,하계동한신1
서울특별시,동작구,사당동,105,사당우성3,84.66,202407,7,120800,11,1993,2024-07-07,사당우성3
서울특별시,동작구,사당동,105,사당우성2,59.89,202407,7,100000,14,1993,2024-07-07,사당우성2
서울특별시,동대문구,휘경동,57,주공1,84.84,202407,6,77500,7,2001,2024-07-06,휘경동주공1
서울특별시,동대문구,휘경동,57,주공1,84.82,202407,6,74000,21,2001,2024-07-06,휘경동주공1
서울특별시,강남구,개포동,185,개포주공7단지,83.7,202407,6,262000,1,1983,2024-07-06,개포주공7단지
서울특별시,강남구,개포동,12,성원대치2단지아파트,33.18,202407,6,107500,7,1992,2024-07-06,성원대치2단지아파트
서울특별시,강남구,개포동,185,개포주공7단지,73.26,202407,5,239000,8,1983,2024-07-05,개포주공7단지
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202407,5,147500,13,1992,2024-07-05,삼익대청아파트
서울특별시,강남구,개포동,12,성원대치2단지아파트,49.86,202407,4,150000,10,1992,2024-07-04,성원대치2단지아파트
서울특별시,강남구,개포동,185,개포주공7단지,83.7,202407,4,210000,9,1983,2024-07-04,개포주공7단지
서울특별시,노원구,하계동,284,한신1,44.52,202407,4,45000,14,1988,2024-07-04,하계동한신1
서울특별시,동대문구,휘경동,57,주공2,59.13,202407,4,64800,20,2001,2024-07-04,휘경동주공2
서울특별시,광진구,광장동,218-1,극동2,84.55,202407,3,164100,5,1989,2024-07-03,극동2
서울특별시,강남구,개포동,185,개포주공7단지,83.7,202407,2,267000,13,1983,2024-07-02,개포주공7단지
서울특별시,동대문구,휘경동,57,주공1,84.84,202407,2,72500,2,2001,2024-07-02,휘경동주공1
서울특별시,노원구,하계동,284,한신1,27.0,202407,1,30000,14,1988,2024-07-01,하계동한신1
서울특별시,동작구,사당동,105,극동(105),109.7,202407,1,110000,14,1993,2024-07-01,극동(105)
서울특별시,동작구,사당동,105,신동아4,59.89,202407,1,89700,1,1993,2024-07-01,사당동신동아4
서울특별시,동작구,사당동,105,사당우성2,59.89,202406,29,105000,5,1993,2024-06-29,사당우성2
서울특별시,동작구,사당동,105,극동(105),51.57,202406,29,84000,15,1993,2024-06-29,극동(105)
서울특별시,동대문구,휘경동,57,주공2,39.98,202406,29,43450,4,2001,2024-06-29,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.98,202406,29,43450,4,2001,2024-06-29,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.97,202406,29,38500,23,2001,2024-06-29,휘경동주공2
