complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
공릉현대,1,노원구,공릉동,서울특별시 노원구 동일로176길 39-12,동일로176길,1939-12-01 00:00:00,서울노원구동일로176길39-12
공릉건영장미,1,노원구,공릉동,서울특별시 노원구 공릉로51길 14-1,공릉로51길,2025-01-14 00:00:00,서울노원구공릉로51길14-1
공덕자이 아파트,1,마포구,아현동,서울특별시 마포구 마포대로24길 16,마포대로24길,16,아현동800
공덕래미안5차,1,마포구,공덕동,서울특별시 마포구 마포대로 167,마포대로,167,공덕동470
고척청구아파트,1,구로구,고척동,서울특별시 구로구 중앙로6길 5-15,중앙로6길,2025-05-15 00:00:00,서울구로구중앙로6길5-15
고척우성꿈동산,1,구로구,고척동,서울특별시 구로구 경인로47다길 34-7,경인로47다길,1934-07-01 00:00:00,서울구로구경인로47다길34-7
고덕풍경채어바니티,1,강동구,고덕동,서울특별시 강동구 아리수로 375,아리수로,375,고덕동136
도곡쌍용예가,1,강남구,도곡동,서울특별시 강남구 남부순환로363길 30,남부순환로363길,30,도곡동902-8/도곡동933
도봉동아에코빌,1,도봉구,도봉동,서울특별시 도봉구 도봉로180길 6-23,도봉로180길,2025-06-23 00:00:00,서울도봉구도봉로180길6-23
도봉숲 아뜨리움,1,도봉구,도봉동,서울특별시 도봉구 도봉로167길 38,도봉로167길,38,도봉동593-37
방배삼익,1,서초구,방배동,서울특별시 서초구 효령로34길 79,효령로34길,79,nan
보문리슈빌하우트,1,성북구,보문동1가,서울특별시 성북구 보문로26길 18,보문로26길,18,보문동1가228
보라매우성,1,동작구,신대방동,서울특별시 동작구 보라매로5길 5,보라매로5길,5,봉천동1696
번동신원,1,강북구,번동,서울특별시 강북구 월계로37길 87-9,월계로37길,1987-09-01 00:00:00,서울강북구월계로37길87-9
번동금호어울림,1,강북구,번동,서울특별시 강북구 오현로31길 85-7,오현로31길,1985-07-01 00:00:00,서울강북구오현로31길85-7
백운한비치2차,1,금천구,시흥동,서울특별시 금천구 금하로23길 52,금하로23길,52,시흥동1018
방화월드메르디앙,1,강서구,방화동,서울특별시 강서구 양천로1길 117,양천로1길,117,방화동878
방학신동아3단지,1,도봉구,방학동,서울특별시 도봉구 방학로15길 26-7,방학로15길,2025-07-26 00:00:00,서울도봉구방학로15길26-7
방학성원,1,도봉구,방학동,서울특별시 도봉구 도당로6길 14-5,도당로6길,2025-05-14 00:00:00,서울도봉구도당로6길14-5
방학극동아파트,1,도봉구,방학동,서울특별시 도봉구 시루봉로11길 25-5,시루봉로11길,2025-05-25 00:00:00,서울도봉구시루봉로11길25-5
