sido,gugun,dong,deal_ym,aptcode,price_84m2,built_date,households
서울특별시,강남구,대치동,202407,A10024815,213419,2008-02-22,144.0
서울특별시,강남구,대치동,202407,A10026924,306574,2017-06-20,239.0
서울특별시,강남구,대치동,202407,A13528003,252419,2000-07-31,960.0
서울특별시,강남구,대치동,202407,A13528004,255812,1983-11-28,2436.0
서울특별시,강남구,대치동,202407,A13528005,97503,2004-04-29,372.0
서울특별시,강남구,대치동,202407,A13528102,279317,2008-06-03,768.0
서울특별시,강남구,대치동,202407,A13528103,282125,2005-01-28,805.0
서울특별시,강남구,대치동,202407,A13528105,272091,1983-12-17,1140.0
서울특별시,강남구,대치동,202407,A13583403,219698,1984-01-27,476.0
서울특별시,강남구,대치동,202407,A13583404,232209,1983-03-07,630.0
서울특별시,강남구,대치동,202407,A13583507,267603,1979-08-30,4424.0
서울특별시,강남구,대치동,202407,A13583604,280826,1983-12-12,1034.0
서울특별시,강남구,대치동,202407,A13583701,223376,1999-06-14,630.0
서울특별시,강남구,대치동,202408,A10024102,357000,2021-09-17,273.0
서울특별시,강남구,대치동,202408,A10026924,330476,2017-06-20,239.0
서울특별시,강남구,대치동,202408,A13528003,255326,2000-07-31,960.0
서울특별시,강남구,대치동,202408,A13528004,269664,1983-11-28,2436.0
서울특별시,강남구,대치동,202408,A13528102,273229,2008-06-03,768.0
서울특별시,강남구,대치동,202408,A13528103,288094,2005-01-28,805.0
서울특별시,강남구,대치동,202408,A13583402,240611,1983-11-30,364.0
서울특별시,강남구,대치동,202408,A13583404,206983,1983-03-07,630.0
서울특별시,강남구,대치동,202408,A13583507,272891,1979-08-30,4424.0
서울특별시,강남구,대치동,202408,A13583604,255487,1983-12-12,1034.0
서울특별시,강남구,대치동,202408,A13583701,233812,1999-06-14,630.0
서울특별시,강남구,대치동,202408,A13584101,192614,2004-09-30,276.0
서울특별시,강남구,대치동,202409,A10024102,359112,2021-09-17,273.0
서울특별시,강남구,대치동,202409,A10024799,194854,1990-04-19,120.0
서울특별시,강남구,대치동,202409,A10026924,341752,2017-06-20,239.0
서울특별시,강남구,대치동,202409,A13528001,73665,2004-02-23,210.0
서울특별시,강남구,대치동,202409,A13528004,262395,1983-11-28,2436.0
서울특별시,강남구,대치동,202409,A13528005,97669,2004-04-29,372.0
서울특별시,강남구,대치동,202409,A13528007,230172,1989-12-06,354.0
서울특별시,강남구,대치동,202409,A13583402,231266,1983-11-30,364.0
서울특별시,강남구,대치동,202409,A13583403,249797,1984-01-27,476.0
서울특별시,강남구,대치동,202409,A13583404,247529,1983-03-07,630.0
서울특별시,강남구,대치동,202409,A13583507,278014,1979-08-30,4424.0
서울특별시,강남구,대치동,202409,A13583604,281272,1983-12-12,1034.0
서울특별시,강남구,대치동,202409,A13583701,258363,1999-06-14,630.0
서울특별시,강남구,대치동,202410,A10024102,328554,2021-09-17,273.0
서울특별시,강남구,대치동,202410,A13528003,248283,2000-07-31,960.0
서울특별시,강남구,대치동,202410,A13528004,277640,1983-11-28,2436.0
서울특별시,강남구,대치동,202410,A13528102,323948,2008-06-03,768.0
서울특별시,강남구,대치동,202410,A13528103,285258,2005-01-28,805.0
서울특별시,강남구,대치동,202410,A13583402,270403,1983-11-30,364.0
서울특별시,강남구,대치동,202410,A13583403,276716,1984-01-27,476.0
서울특별시,강남구,대치동,202410,A13583507,285364,1979-08-30,4424.0
서울특별시,강남구,대치동,202410,A13583604,280890,1983-12-12,1034.0
서울특별시,강남구,대치동,202410,A13583701,252114,1999-06-14,630.0
서울특별시,강남구,대치동,202411,A10023162,303723,2023-06-05,489.0
서울특별시,강남구,대치동,202411,A13528003,258847,2000-07-31,960.0
서울특별시,강남구,대치동,202411,A13528004,295463,1983-11-28,2436.0
서울특별시,강남구,대치동,202411,A13528102,306179,2008-06-03,768.0
서울특별시,강남구,대치동,202411,A13528103,286269,2005-01-28,805.0
서울특별시,강남구,대치동,202411,A13528105,292905,1983-12-17,1140.0
서울특별시,강남구,대치동,202411,A13583403,239807,1984-01-27,476.0
서울특별시,강남구,대치동,202411,A13583404,180930,1983-03-07,630.0
서울특별시,강남구,대치동,202411,A13583507,293671,1979-08-30,4424.0
서울특별시,강남구,대치동,202412,A10024821,213080,2002-08-29,142.0
서울특별시,강남구,대치동,202412,A13528001,73665,2004-02-23,210.0
서울특별시,강남구,대치동,202412,A13528102,286109,2008-06-03,768.0
서울특별시,강남구,대치동,202412,A13528105,336738,1983-12-17,1140.0
서울특별시,강남구,대치동,202412,A13583507,293389,1979-08-30,4424.0
서울특별시,강남구,대치동,202412,A13583604,261240,1983-12-12,1034.0
서울특별시,강남구,대치동,202412,A13583701,259076,1999-06-14,630.0
서울특별시,강남구,도곡동,202401,A10027319,175127,2016-04-22,110.0
서울특별시,강남구,도곡동,202401,A13527004,207098,1994-12-30,231.0
서울특별시,강남구,도곡동,202401,A13527005,115207,1999-11-30,232.0
서울특별시,강남구,도곡동,202401,A13527007,170240,2007-03-27,321.0
서울특별시,강남구,도곡동,202401,A13527013,202083,1985-12-26,459.0
서울특별시,강남구,도곡동,202401,A13527016,317749,1985-12-14,620.0
서울특별시,강남구,도곡동,202401,A13527017,228055,2002-10-23,1297.0
서울특별시,강남구,도곡동,202401,A13527203,268176,2006-01-27,3002.0
서울특별시,강남구,도곡동,202401,A13550404,150690,2002-01-31,64.0
서울특별시,강남구,도곡동,202401,A13585401,243523,1986-10-27,180.0
서울특별시,강남구,도곡동,202401,A13585403,205418,2004-04-19,480.0
서울특별시,강남구,도곡동,202401,A13585404,268876,2016-09-02,397.0
서울특별시,강남구,도곡동,202401,A13585804,182865,1995-12-28,1094.0
서울특별시,강남구,도곡동,202402,A10024793,143869,1999-01-06,132.0
서울특별시,강남구,도곡동,202402,A13527006,124040,1983-06-11,247.0
서울특별시,강남구,도곡동,202402,A13527007,174299,2007-03-27,321.0
서울특별시,강남구,도곡동,202402,A13527014,155730,1999-11-26,490.0
서울특별시,강남구,도곡동,202402,A13527017,261634,2002-10-23,1297.0
서울특별시,강남구,도곡동,202402,A13527018,99400,2006-01-18,176.0
서울특별시,강남구,도곡동,202402,A13527203,236600,2006-01-27,3002.0
서울특별시,강남구,도곡동,202402,A13585402,178410,2003-02-28,813.0
서울특별시,강남구,도곡동,202402,A13585403,225297,2004-04-19,480.0
서울특별시,강남구,도곡동,202402,A13585404,258363,2016-09-02,397.0
서울특별시,강남구,도곡동,202402,A13585804,181389,1995-12-28,1094.0
서울특별시,강남구,도곡동,202403,A10024793,179734,1999-01-06,132.0
서울특별시,강남구,도곡동,202403,A10027319,177952,2016-04-22,110.0
서울특별시,강남구,도곡동,202403,A13527001,84025,2004-04-23,155.0
서울특별시,강남구,도곡동,202403,A13527003,139007,1998-11-07,199.0
서울특별시,강남구,도곡동,202403,A13527007,194650,2007-03-27,321.0
서울특별시,강남구,도곡동,202403,A13527008,213640,2005-06-02,348.0
서울특별시,강남구,도곡동,202403,A13527013,202643,1985-12-26,459.0
서울특별시,강남구,도곡동,202403,A13527014,138320,1999-11-26,490.0
서울특별시,강남구,도곡동,202403,A13527017,225068,2002-10-23,1297.0
서울특별시,강남구,도곡동,202403,A13527018,118117,2006-01-18,176.0
서울특별시,강남구,도곡동,202403,A13527203,254868,2006-01-27,3002.0
서울특별시,강남구,도곡동,202403,A13550502,222031,2001-12-01,732.0
서울특별시,강남구,도곡동,202403,A13585402,217916,2003-02-28,813.0
서울특별시,강남구,도곡동,202403,A13585404,248919,2016-09-02,397.0
서울특별시,강남구,도곡동,202403,A13585804,155680,1995-12-28,1094.0
서울특별시,강남구,도곡동,202404,A10027319,182890,2016-04-22,110.0
서울특별시,강남구,도곡동,202404,A13527002,163672,2006-10-19,171.0
서울특별시,강남구,도곡동,202404,A13527003,129309,1998-11-07,199.0
서울특별시,강남구,도곡동,202404,A13527005,106807,1999-11-30,232.0
서울특별시,강남구,도곡동,202404,A13527006,146160,1983-06-11,247.0
서울특별시,강남구,도곡동,202404,A13527007,172810,2007-03-27,321.0
서울특별시,강남구,도곡동,202404,A13527013,205595,1985-12-26,459.0
서울특별시,강남구,도곡동,202404,A13527014,147025,1999-11-26,490.0
서울특별시,강남구,도곡동,202404,A13527016,250396,1985-12-14,620.0
서울특별시,강남구,도곡동,202404,A13527017,259687,2002-10-23,1297.0
서울특별시,강남구,도곡동,202404,A13527018,99883,2006-01-18,176.0
서울특별시,강남구,도곡동,202404,A13527203,257272,2006-01-27,3002.0
서울특별시,강남구,도곡동,202404,A13550403,162544,1988-07-16,421.0
서울특별시,강남구,도곡동,202404,A13550502,229854,2001-12-01,732.0
서울특별시,강남구,도곡동,202404,A13585402,249691,2003-02-28,813.0
서울특별시,강남구,도곡동,202404,A13585404,263047,2016-09-02,397.0
서울특별시,강남구,도곡동,202404,A13585804,163918,1995-12-28,1094.0
서울특별시,강남구,도곡동,202404,A13586101,173052,1992-11-19,197.0
서울특별시,강남구,도곡동,202404,B11680026,109047,,111.0
서울특별시,강남구,도곡동,202404,B11680060,140050,2006-02-23,58.0
서울특별시,강남구,도곡동,202405,A10024793,158200,1999-01-06,132.0
서울특별시,강남구,도곡동,202405,A10027319,182890,2016-04-22,110.0
서울특별시,강남구,도곡동,202405,A13527003,136071,1998-11-07,199.0
서울특별시,강남구,도곡동,202405,A13527004,252865,1994-12-30,231.0
서울특별시,강남구,도곡동,202405,A13527005,103065,1999-11-30,232.0
서울특별시,강남구,도곡동,202405,A13527007,168941,2007-03-27,321.0
서울특별시,강남구,도곡동,202405,A13527008,219978,2005-06-02,348.0
서울특별시,강남구,도곡동,202405,A13527010,186938,1986-10-31,390.0
서울특별시,강남구,도곡동,202405,A13527011,153312,2004-11-15,414.0
서울특별시,강남구,도곡동,202405,A13527013,201268,1985-12-26,459.0
서울특별시,강남구,도곡동,202405,A13527014,138803,1999-11-26,490.0
서울특별시,강남구,도곡동,202405,A13527017,230074,2002-10-23,1297.0
서울특별시,강남구,도곡동,202405,A13527203,271018,2006-01-27,3002.0
서울특별시,강남구,도곡동,202405,A13550502,197004,2001-12-01,732.0
서울특별시,강남구,도곡동,202405,A13585402,215175,2003-02-28,813.0
서울특별시,강남구,도곡동,202405,A13585403,242289,2004-04-19,480.0
