complex_name,unmatched_count,gugun,dong,jibun
강남엘에이치1단지,28,강남구,세곡동,579
은평스카이뷰자이,28,은평구,진관동,62
대상타운현대아파트,28,도봉구,방학동,720-1
염광,28,노원구,중계동,445
동성,28,강서구,방화동,817
현대아파트,28,강남구,청담동,23
금호한신,28,성동구,금호동3가,1662
인왕산아이파크,28,종로구,무악동,60
학마을1단지,28,양천구,신정동,1293
래미안밤섬리베뉴Ⅰ,28,마포구,상수동,402
태릉입구역이니티움,28,노원구,공릉동,684-41
보라매삼성,28,관악구,봉천동,1698-1
삼부,28,영등포구,여의도동,30-2
방배1차현대홈타운,28,서초구,방배동,1344
거성파스텔,28,영등포구,양평동3가,90-1
옥수파크힐스117동~125동,28,성동구,옥수동,528-1
삼성래미안2,28,동작구,상도동,421
보라매경남아너스빌,28,영등포구,신길동,4780
옥수하이츠,28,성동구,옥수동,100
이편한세상마포리버파크,27,마포구,용강동,508
북한산푸르지오,27,은평구,녹번동,281
금호1,27,양천구,목동,934
금호어울림,27,중랑구,묵동,386
성산시영(선경),27,마포구,성산동,446
공덕3삼성래미안,27,마포구,공덕동,457
아이파크종암동1차,27,성북구,종암동,130
정릉2차e-편한세상,27,성북구,정릉동,1035
성원(사슴4),27,노원구,월계동,322-1
신내 데시앙포레,27,중랑구,신내동,817
답십리청솔우성,27,동대문구,답십리동,80
e편한세상서울대입구2차,27,관악구,봉천동,1733
백련산힐스테이트3차,27,은평구,응암동,761
마곡수명산파크1단지,27,강서구,내발산동,742
래미안엘파인아파트,27,동대문구,답십리동,1000
대동,27,도봉구,창동,811
돈암현대아파트,27,성북구,돈암동,1
래미안이문2차,27,동대문구,이문동,311
청담자이,27,강남구,청담동,134-38
미성2차,26,강남구,압구정동,397
비선아파트,26,노원구,공릉동,109
공덕2삼성래미안,26,마포구,공덕동,43
한신휴플러스(1280-0),26,구로구,구로동,1280
동아한가람1,26,송파구,풍납동,506
신공덕래미안3차,26,마포구,신공덕동,161
월드메르디앙,26,강서구,등촌동,711
래미안트리베라1단지,26,강북구,미아동,813
길음뉴타운데시앙,26,성북구,정릉동,1018
래미안밤섬리베뉴Ⅱ,26,마포구,상수동,398
태영,26,강서구,염창동,270-1
북한산두산위브,26,서대문구,홍은동,467
창전래미안,26,마포구,창전동,437
세양청마루,26,양천구,신정동,1306
돈의문센트레빌,26,서대문구,냉천동,261
목동신시가지3,26,양천구,목동,903
우성7,25,강남구,일원동,615
홍제삼성래미안,25,서대문구,홍제동,461
엘에이치서초4단지,25,서초구,우면동,788
고덕숲아이파크,25,강동구,상일동,515
래미안라센트,25,성북구,종암동,134
당산효성1차,25,영등포구,당산동5가,12
홍제현대,25,서대문구,홍제동,331
강변힐스테이트,25,마포구,현석동,222
동성3,25,중랑구,신내동,618
거여5단지,25,송파구,거여동,294
롯데캐슬클래식,25,서초구,서초동,1312-3
LIG대학마을(건영아파트3차),25,관악구,신림동,1703-1
독산동중앙하이츠빌,25,금천구,독산동,1140
마포자이2차,25,마포구,대흥동,804
"현대6차(78~81,83,84,86,87동)",25,강남구,압구정동,456
한남더힐,25,용산구,한남동,810
"등촌7,8단지주공아파트",25,강서구,등촌동,707
롯데캐슬루나,25,노원구,월계동,947
신사씨티,25,은평구,신사동,297
"등촌1,2단지주공아파트",25,강서구,등촌동,687
대우미래사랑,25,마포구,서교동,487
우성1차,25,동작구,신대방동,565
성산월드타운대림,25,마포구,성산동,601
힐스테이트서울숲리버,25,성동구,금호동4가,1553
래미안남가좌2차,25,서대문구,남가좌동,379
래미안신반포팰리스,25,서초구,잠원동,158
잠실올림픽공원아이파크,24,송파구,풍납동,514
상계대림,24,노원구,상계동,172
e편한세상서울대입구2단지,24,관악구,봉천동,1730-1
건영2차,24,중랑구,신내동,785
DMC우방,24,은평구,증산동,244
신현대11차,24,강남구,압구정동,433
리버힐삼성,24,용산구,산천동,193
신현대12차,24,강남구,압구정동,434
e편한세상신촌4단지,24,서대문구,북아현동,1013
당산현대3차,24,영등포구,당산동4가,88
아크로리버뷰신반포,24,서초구,잠원동,159
동답한신,24,동대문구,답십리동,42
용산e편한세상,24,용산구,신계동,48
상도동삼호아파트,24,동작구,상도동,408
하이페리온2,24,양천구,목동,961
대우디오빌,24,강남구,역삼동,720-25
삼호4,24,노원구,월계동,12
반포힐스테이트,24,서초구,반포동,16-6
대치아이파크,24,강남구,대치동,888
공덕1삼성래미안,24,마포구,공덕동,371
공덕현대,24,마포구,공덕동,370-9
아이파크종암동2차,24,성북구,종암동,131
건영2,24,노원구,중계동,515-2
금호자이2차,24,성동구,금호동3가,700
마포자이,24,마포구,염리동,521
청구아파트,24,도봉구,방학동,734
마곡엠밸리7단지,24,강서구,마곡동,743-4
천호태영아파트,23,강동구,천호동,566
